See: http://www.ebi.ac.uk/ena/submit/mixs-checklists					Used in sample sheet																				
Legend: 																									
x = key is used for the specific application																									
yellow = this key is mandatory for samples processed for this application																									
																									
Provider	Key	Value	Unit	Description	16S 	RNAseq	GenomeSeq	Metagenomic																	
Z	EXPERIMENT_TYPE	string		WGS, WGA, WXS, RNA-seq, ssRNA-seq, miRNA-seq, ncRNA-seq, FL-cDNA, EST, Hi-C, ATAC-seq, WCS, RAD-seq, AMPLICON, ChIP-seq, Targeted-Capture	??																				
Z	BARCODE_SAMPLE	string		Unique Barcode given by Z	x																				
USER	CRC_PROJECT_ID	string		CRC project	x																				
USER	OWNER_ORCID	integer		ORCID (?)	??																				
USER	SAMPLE_TITLE	string		project title/study title	x																				
USER	SAMPLE_ALIAS	string		sample name provided by USERs, will be linked to internal identifiers (like barcodes for 16S)	x																				
USER	SAMPLE_DESCRIPTION	string		Short description of sample	x																				
USER	PROJECT_NAME	string		Name of project	x																				
USER	TAX_ID	integer		NCBI Taxonomy ID	x																				
USER	SCIENTIFIC_NAME	string		Latin name of sample organism	x																				
USER	COMMON_NAME	string		Common name of sample organism	x																				
USER	PLOIDY	integer		Ploidy of sample organism	x																				
USER	INVESTIGATION_TYPE	string		eukaryote, bacteria, virus, plasmid, organelle, metagenome, 	x																				
USER	NUCLEIC_ACID_EXTRACTION	string		Link to a literature reference, electronic resource or a standard operating procedure (SOP)	x																				
Z	NUCLEIC_ACID_AMPLIFICATION	string		Link to a literature reference, electronic resource or a standard operating procedure (SOP)	x																				
Z	TARGET_GENE	string		Targeted gene or locus name for marker gene studies	x																				
Z	TARGET_SUBFRAGMENT	string		Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA	x																				
Z	LIBRARY_SIZE	integer		Total number of clones in the library prepared for the project	x																				
Z	LIBRARY_READS_SEQUENCED	integer		Number of sequenced reads	x																				
Z	LIBRARY_CONSTRUCTION_METHOD	string		Library construction method used for clone libraries	x																				
Z	LIBRARY_VECTOR	string		Cloning vector used for clone libraries	x																				
Z	LIBRARY_SCREENING_METHOD	string		Specific enrichment or screening methods applied before and/or after creating clone libraries in order to select a specific group of sequences	x																				
Z	SEQUENCING_METHOD	string		Illumina/454/ABI/NanoPore/...	x																				
Z	ADAPTERS	string		"Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters"	x																				
Z	MULTIPLEX_IDENTIFIERS	string		Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters	x																				
Z	PCR_CONDITIONS	string		"Description of reaction conditions and components for PCR in the form of 'initial denaturation:94degC_1.5min; annealing=...'"	x																				
Z	PCR_PRIMERS	string		PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters	x																				
INF	READ_ORIENTATION	string		RF or FR	x	x	x	x																	
INF	FASTQC_LOG	string		QC log	x	x	x	x																	
INF	INSERT_SIZE	integer		Insert size of PE libraries	x	x	x	x																	
INF	PAIRED	boolean		true or false	x	x	x	x																	
INF	RUN_ID	string		ID of the sequencing run	x	x	x	x																	
INF	RUN_DATE	date		Date the sequencing run was started	x	x	x	x																	
INF	RUN_NUMBER	string		Number of the run	x	x	x	x																	
INF	MACHINE_ID	string		ID of the sequencing machine	x	x	x	x																	
INF	FLOWCELL_ID	string		Id of the flowcell	x	x	x	x																	
INF	SBS_VERSION	string		Sequencing by Synthesis kit	x	x	x	x																	
INF	SBS_REAGENT_KIT	string		Reagent kit used for SBS	x	x	x	x																	
INF	INDEX_REAGENT_KIT	string			x	x	x	x																	
INF	PRE_REAGENT_KIT	string			x	x	x	x																	
INF	READ_LENGTH	string		Size of reads (e.g. 2x150bp, 2x100bp, 1x75p, etc..)																					
User	COLLECTION_DATE	date		yyyy-mm-dd	x																				
USER	ENVIRONMENTAL_PACKAGE	string			x																				
USER	GEOGRAPHIC_LOCATION_LATITUDE	string		geographic coordinates (latitude)	X																				
USER	GEOGRAPHIC_LOCATION_LONGITUDE	string		geographic coordinates (longitude)	X																				
USER	GEOGRAPHIC_LOCATION_ALTITUDE	integer	m	Height above sea level of sample site	X																				
USER	GEOGRAPHIC_LOCATION_COUNTRY_SEA	string		Country where sample was taken	X																				
USER	GEOGRAPHIC_LOCATION_REGION	string		Region where sample was taken	X																				
USER	ENVIRONMENT_BIOME	string		Descriptor of the broad ecological context of a sample (e.g. desert, taiga)	X																				
USER	ENVIRONMENT_FEATURE	string		Descriptor of the local environment (e.g. cliff, lake)	X																				
USER	ENVIRONMENT_MATERIAL	string		Environmental material (e.g. water, soil)	X																				
USER	DEPTH	integer	cm/m	Distance below surface	X																				
USER	EXPERIMENTAL_FACTOR	string		experiment design which can be used to describe the experiment (see http://purl.bioontology.org/ontology/OBI)	X																				
USER	SAMPLE_VOLUME_WEIGHT	integer	g/kh/ml/l	Volume (mL) or weight (g) of sample processed for DNA extraction	X																				
USER	RELEVANT_SOP	string		Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences	X																				
USER	SOURCE_MATERIAL_IDENTIFIERS	string		A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2).	X																				
USER	SAMPLE_COLLECTION_DEVICE_OR_METHOD	string		The method or deviced employed for collecting the sample	X																				
USER	SAMPLE_MATERIAL_PROCESSING	string		Any processing applied to the sample during or after retrieving the sample from environment. This field accepts OBI, for a browser of OBI (v 2013-10-25) terms please see http://purl.bioontology.org/ontology/OBI	X																				
USER	ISOLATION_AND_GROWTH_CONDITION	string		Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material. Mandatory for MIGS and MIMARKS Specimen.	X																				
USER	PROPAGATION	integer		This field is specific to different taxa. For phages: lytic/lysogenic, for plasmids: incompatibility group (Note: there is the strong opinion to name phage propagation obligately lytic or temperate, therefore we also give this choice. Mandatory for MIGS of eukaryotes, plasmids and viruses.	X																				
